               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.031894,             0.01402,           0.0069401,             0.99451,             0.98605,             0.99245,             0.79384,            0.025728,           0.0086517,           0.0054222,           0.0082598,           0.0082598,           0.0082598
                  47,            0.031781,            0.014363,           0.0065948,             0.99392,             0.98617,             0.99282,             0.78937,            0.026588,           0.0087947,           0.0053555,           0.0082211,           0.0082211,           0.0082211
                  48,              0.0316,            0.014363,           0.0067494,              0.9899,             0.98617,             0.99111,             0.80587,            0.025452,           0.0086267,           0.0054413,           0.0081824,           0.0081824,           0.0081824
                  49,            0.030537,             0.01405,           0.0065235,              0.9951,             0.98408,             0.99168,             0.77862,            0.026773,            0.009061,           0.0052467,           0.0081437,           0.0081437,           0.0081437
                  50,            0.030011,            0.013924,            0.006604,             0.99193,             0.98617,             0.99337,               0.775,            0.025564,           0.0087008,           0.0055454,           0.0081051,           0.0081051,           0.0081051
                  51,            0.030552,            0.013375,           0.0067765,             0.99339,             0.98701,             0.99238,             0.81885,            0.025685,           0.0086218,           0.0051846,           0.0080664,           0.0080664,           0.0080664
                  52,            0.030248,             0.01301,           0.0066371,             0.99513,             0.98272,             0.99242,             0.73877,            0.028878,           0.0092089,           0.0054836,           0.0080277,           0.0080277,           0.0080277
                  53,            0.029951,            0.013558,           0.0067323,             0.99328,             0.98025,             0.99271,             0.79688,            0.025754,           0.0085965,           0.0051994,           0.0079891,           0.0079891,           0.0079891
                  54,             0.03019,            0.013421,           0.0063466,             0.99013,             0.98465,             0.99185,             0.81417,            0.023939,           0.0086045,           0.0051727,           0.0079504,           0.0079504,           0.0079504
                  55,            0.030909,            0.014466,           0.0070597,             0.98976,             0.98423,             0.99196,             0.79082,            0.024625,           0.0088229,           0.0050564,           0.0079117,           0.0079117,           0.0079117
                  56,            0.030429,            0.013791,           0.0062967,             0.99637,             0.98631,             0.99089,             0.82153,            0.024011,           0.0084506,           0.0052193,            0.007873,            0.007873,            0.007873
                  57,            0.029368,            0.013245,           0.0066499,             0.99245,             0.98714,             0.99125,             0.79727,            0.025849,           0.0087774,           0.0051067,           0.0078344,           0.0078344,           0.0078344
                  58,            0.029589,            0.013611,           0.0063276,             0.99522,              0.9859,             0.99178,             0.76355,            0.027187,           0.0093185,           0.0050014,           0.0077957,           0.0077957,           0.0077957
                  59,            0.030284,            0.013697,           0.0066964,             0.99277,             0.98367,             0.99215,             0.81894,             0.02455,           0.0087999,           0.0050266,            0.007757,            0.007757,            0.007757
                  60,            0.028582,             0.01308,           0.0064227,             0.98743,             0.98617,             0.99298,             0.81475,            0.024617,           0.0084446,           0.0051701,           0.0077184,           0.0077184,           0.0077184
                  61,            0.028554,            0.013193,            0.006484,             0.99127,             0.97655,             0.99075,             0.82306,            0.023107,           0.0084014,           0.0054039,           0.0076797,           0.0076797,           0.0076797
                  62,            0.028897,            0.013104,           0.0064284,             0.99223,             0.98617,              0.9905,             0.82158,            0.023422,           0.0084599,           0.0049824,            0.007641,            0.007641,            0.007641
                  63,            0.028802,            0.013814,           0.0063453,             0.99042,             0.98333,             0.99304,             0.80806,            0.025307,           0.0084764,           0.0049816,           0.0076023,           0.0076023,           0.0076023
                  64,            0.027943,            0.012997,           0.0065621,             0.98698,             0.98178,             0.99257,             0.80644,            0.025319,           0.0081734,           0.0051628,           0.0075637,           0.0075637,           0.0075637
                  65,            0.029349,            0.013198,           0.0067916,             0.99419,             0.98241,             0.99305,             0.79168,            0.024639,            0.008312,           0.0050716,            0.007525,            0.007525,            0.007525
                  66,            0.029117,            0.013043,            0.006511,             0.99092,             0.98617,             0.99198,             0.81232,            0.023428,           0.0085614,           0.0049797,           0.0074863,           0.0074863,           0.0074863
