                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                    nan,                    nan,                    nan,                0.00985,                0.02083,                0.00383,                0.00233,                    nan,                    nan,                    nan,             0.00055391,             0.00055391,             0.00055391
                     74,                    nan,                    nan,                    nan,                0.01026,                0.02083,                0.00393,                 0.0025,                    nan,                    nan,                    nan,             0.00054424,             0.00054424,             0.00054424
                     75,                    nan,                    nan,                    nan,                0.01056,                0.02083,                0.00408,                0.00269,                    nan,                    nan,                    nan,             0.00053457,             0.00053457,             0.00053457
                     76,                    nan,                    nan,                    nan,                 0.0119,                0.02778,                 0.0039,                0.00259,                    nan,                    nan,                    nan,              0.0005249,              0.0005249,              0.0005249
                     77,                    nan,                    nan,                    nan,                0.01045,                0.02083,                0.00417,                0.00274,                    nan,                    nan,                    nan,             0.00051523,             0.00051523,             0.00051523
                     78,                    nan,                    nan,                    nan,                0.01004,                0.02083,                0.00409,                0.00266,                    nan,                    nan,                    nan,             0.00050557,             0.00050557,             0.00050557
                     79,                    nan,                    nan,                    nan,                0.01131,                0.02083,                0.00395,                0.00259,                    nan,                    nan,                    nan,              0.0004959,              0.0004959,              0.0004959
                     80,                    nan,                    nan,                    nan,                0.01333,                0.02083,                0.00418,                0.00263,                    nan,                    nan,                    nan,             0.00048623,             0.00048623,             0.00048623
                     81,                    nan,                    nan,                    nan,                 0.0118,                0.02083,                0.00409,                 0.0027,                    nan,                    nan,                    nan,             0.00047656,             0.00047656,             0.00047656
                     82,                    nan,                    nan,                    nan,                0.01146,                0.02083,                0.00404,                0.00266,                    nan,                    nan,                    nan,             0.00046689,             0.00046689,             0.00046689
                     83,                    nan,                    nan,                    nan,                0.01209,                0.02083,                0.00419,                0.00274,                    nan,                    nan,                    nan,             0.00045723,             0.00045723,             0.00045723
                     84,                    nan,                    nan,                    nan,                0.01091,                0.02083,                0.00409,                0.00267,                    nan,                    nan,                    nan,             0.00044756,             0.00044756,             0.00044756
                     85,                    nan,                    nan,                    nan,                0.01292,                0.02778,                0.00421,                0.00273,                    nan,                    nan,                    nan,             0.00043789,             0.00043789,             0.00043789
                     86,                    nan,                    nan,                    nan,                0.01082,                0.02083,                0.00402,                0.00265,                    nan,                    nan,                    nan,             0.00042822,             0.00042822,             0.00042822
                     87,                    nan,                    nan,                    nan,                0.01163,                0.02083,                0.00412,                0.00267,                    nan,                    nan,                    nan,             0.00041855,             0.00041855,             0.00041855
                     88,                    nan,                    nan,                    nan,                 0.0115,                0.02083,                0.00406,                0.00265,                    nan,                    nan,                    nan,             0.00040889,             0.00040889,             0.00040889
                     89,                    nan,                    nan,                    nan,                0.01166,                0.02083,                 0.0039,                0.00258,                    nan,                    nan,                    nan,             0.00039922,             0.00039922,             0.00039922
                     90,                    nan,                    nan,                    nan,                0.01137,                0.02083,                0.00392,                0.00253,                    nan,                    nan,                    nan,             0.00038955,             0.00038955,             0.00038955
                     91,                    nan,                    nan,                    nan,                  0.011,                0.02083,                 0.0041,                0.00263,                    nan,                    nan,                    nan,             0.00037988,             0.00037988,             0.00037988
                     92,                    nan,                    nan,                    nan,                0.01189,                0.02083,                0.00405,                0.00264,                    nan,                    nan,                    nan,             0.00037021,             0.00037021,             0.00037021
                     93,                    nan,                    nan,                    nan,                0.01283,                0.02083,                0.00407,                0.00252,                    nan,                    nan,                    nan,             0.00036055,             0.00036055,             0.00036055
                     94,                    nan,                    nan,                    nan,                0.01888,                0.02083,                0.00443,                0.00273,                    nan,                    nan,                    nan,             0.00035088,             0.00035088,             0.00035088
                     95,                    nan,                    nan,                    nan,                 0.0196,                0.02083,                0.00439,                0.00281,                    nan,                    nan,                    nan,             0.00034121,             0.00034121,             0.00034121
                     96,                    nan,                    nan,                    nan,                0.02037,                0.02083,                 0.0045,                0.00287,                    nan,                    nan,                    nan,             0.00033154,             0.00033154,             0.00033154
                     97,                    nan,                    nan,                    nan,                0.01481,                0.02083,                0.00436,                0.00284,                    nan,                    nan,                    nan,             0.00032188,             0.00032188,             0.00032188
                     98,                    nan,                    nan,                    nan,                0.01508,                0.02083,                0.00451,                0.00293,                    nan,                    nan,                    nan,             0.00031221,             0.00031221,             0.00031221
                     99,                    nan,                    nan,                    nan,                0.01266,                0.02083,                0.00431,                0.00282,                    nan,                    nan,                    nan,             0.00030254,             0.00030254,             0.00030254
                    100,                    nan,                    nan,                    nan,                0.01529,                0.02083,                0.00442,                 0.0027,                    nan,                    nan,                    nan,             0.00029287,             0.00029287,             0.00029287
                    101,                    nan,                    nan,                    nan,                0.01387,                0.02083,                0.00435,                 0.0028,                    nan,                    nan,                    nan,              0.0002832,              0.0002832,              0.0002832
                    102,                    nan,                    nan,                    nan,                0.01392,                0.02083,                0.00433,                0.00278,                    nan,                    nan,                    nan,             0.00027354,             0.00027354,             0.00027354
                    103,                    nan,                    nan,                    nan,                0.01086,                0.02083,                0.00421,                0.00261,                    nan,                    nan,                    nan,             0.00026387,             0.00026387,             0.00026387
                    104,                    nan,                    nan,                    nan,                0.01307,                0.02083,                0.00427,                0.00273,                    nan,                    nan,                    nan,              0.0002542,              0.0002542,              0.0002542
                    105,                    nan,                    nan,                    nan,                0.01297,                0.02083,                0.00421,                0.00272,                    nan,                    nan,                    nan,             0.00024453,             0.00024453,             0.00024453
                    106,                    nan,                    nan,                    nan,                0.01364,                0.02083,                0.00436,                0.00279,                    nan,                    nan,                    nan,             0.00023486,             0.00023486,             0.00023486
                    107,                    nan,                    nan,                    nan,                0.01156,                0.02083,                0.00407,                0.00262,                    nan,                    nan,                    nan,              0.0002252,              0.0002252,              0.0002252
                    108,                    nan,                    nan,                    nan,                0.01133,                0.02083,                0.00415,                0.00272,                    nan,                    nan,                    nan,             0.00021553,             0.00021553,             0.00021553
                    109,                    nan,                    nan,                    nan,                0.01128,                0.02083,                0.00406,                0.00267,                    nan,                    nan,                    nan,             0.00020586,             0.00020586,             0.00020586
                    110,                    nan,                    nan,                    nan,                0.01346,                0.02083,                0.00422,                0.00276,                    nan,                    nan,                    nan,             0.00019619,             0.00019619,             0.00019619
                    111,                    nan,                    nan,                    nan,                 0.0129,                0.02083,                0.00423,                0.00277,                    nan,                    nan,                    nan,             0.00018652,             0.00018652,             0.00018652
                    112,                    nan,                    nan,                    nan,                0.01152,                0.02083,                0.00423,                0.00277,                    nan,                    nan,                    nan,             0.00017686,             0.00017686,             0.00017686
                    113,                    nan,                    nan,                    nan,                0.01069,                0.02083,                0.00421,                0.00276,                    nan,                    nan,                    nan,             0.00016719,             0.00016719,             0.00016719
                    114,                    nan,                    nan,                    nan,                0.01121,                0.02083,                0.00416,                0.00272,                    nan,                    nan,                    nan,             0.00015752,             0.00015752,             0.00015752
                    115,                    nan,                    nan,                    nan,                0.01082,                0.02083,                0.00421,                0.00274,                    nan,                    nan,                    nan,             0.00014785,             0.00014785,             0.00014785
                    116,                    nan,                    nan,                    nan,                0.01127,                0.02083,                0.00417,                 0.0027,                    nan,                    nan,                    nan,             0.00013818,             0.00013818,             0.00013818
                    117,                    nan,                    nan,                    nan,                0.01093,                0.02083,                0.00415,                0.00272,                    nan,                    nan,                    nan,             0.00012852,             0.00012852,             0.00012852
                    118,                    nan,                    nan,                    nan,                 0.0136,                0.01389,                0.00425,                0.00277,                    nan,                    nan,                    nan,             0.00011885,             0.00011885,             0.00011885
                    119,                    nan,                    nan,                    nan,                0.00924,                0.01389,                0.00293,                0.00184,                    nan,                    nan,                    nan,             0.00010918,             0.00010918,             0.00010918
                    120,                    nan,                    nan,                    nan,                0.00417,                0.01389,                0.00187,                0.00123,                    nan,                    nan,                    nan,             9.9512e-05,             9.9512e-05,             9.9512e-05
                    121,                    nan,                    nan,                    nan,                0.00257,                0.02083,                0.00125,                0.00083,                    nan,                    nan,                    nan,             8.9844e-05,             8.9844e-05,             8.9844e-05
                    122,                    nan,                    nan,                    nan,                0.00182,                0.01389,                0.00113,                0.00074,                    nan,                    nan,                    nan,             8.0176e-05,             8.0176e-05,             8.0176e-05
                    123,                    nan,                    nan,                    nan,                0.00186,                0.01389,                0.00105,                0.00063,                    nan,                    nan,                    nan,             7.0508e-05,             7.0508e-05,             7.0508e-05
                    124,                    nan,                    nan,                    nan,                0.00233,                0.02778,                0.00103,                0.00065,                    nan,                    nan,                    nan,              6.084e-05,              6.084e-05,              6.084e-05
                    125,                    nan,                    nan,                    nan,                 0.0014,                0.01389,                0.00099,                0.00061,                    nan,                    nan,                    nan,             5.1172e-05,             5.1172e-05,             5.1172e-05
                    126,                    nan,                    nan,                    nan,                 0.0014,                0.01389,                0.00098,                 0.0006,                    nan,                    nan,                    nan,             4.1504e-05,             4.1504e-05,             4.1504e-05
                    127,                    nan,                    nan,                    nan,                 0.0014,                0.01389,                0.00099,                 0.0006,                    nan,                    nan,                    nan,             3.1836e-05,             3.1836e-05,             3.1836e-05
                    128,                    nan,                    nan,                    nan,                0.00134,                0.08373,                0.00091,                0.00055,                    nan,                    nan,                    nan,             2.2168e-05,             2.2168e-05,             2.2168e-05
